title,url,source,published,query,collected_at
Hürmüz Boğazı gerilimi : 2 bin gemi mahsur kaldı,https://mansethaber.com/dunya/kuresel-ticaret-kilitlendi-hurmuz-bogazinda-buyuk-kriz,mansethaber.com,20260516T170000Z,port closure supply risk,2026-05-20T05:42:27.244306
The California refinery crisis is a national security risk for America,https://wattsupwiththat.com/2026/05/12/the-california-refinery-crisis-is-a-national-security-risk-for-america-2/,wattsupwiththat.com,20260513T073000Z,port closure supply risk,2026-05-20T05:42:27.244321
نظرة على أداء السوق السعودي لهذا الأسبوع ( آراء محللين بالداخل ) ,https://www.argaam.com:443/ar/article/articledetail/id/1906277,argaam.com,20260516T141500Z,port closure supply risk,2026-05-20T05:42:27.244329
Oil prices rise as Iraq Hormuz shipments collapse amid conflict | Hellenic Shipping News Worldwide,https://www.hellenicshippingnews.com/oil-prices-rise-as-iraqs-hormuz-shipments-collapse-amid-conflict/,hellenicshippingnews.com,20260517T211500Z,port closure supply risk,2026-05-20T05:42:27.244332
"As clock ticks down for Ontario consumption sites , users fear they wont survive",https://www.chch.com/chch-news/as-clock-ticks-down-for-ontario-consumption-sites-users-fear-they-wont-survive/,chch.com,20260515T123000Z,port closure supply risk,2026-05-20T05:42:27.244334
"As clock ticks down for Ontario consumption sites , users fear they wont survive – Winnipeg Free Press",https://www.winnipegfreepress.com/arts-and-life/life/2026/05/15/as-clock-ticks-down-for-ontario-consumption-sites-users-fear-they-wont-survive,winnipegfreepress.com,20260515T083000Z,port closure supply risk,2026-05-20T05:42:27.244336
"As clock ticks down for Ontario consumption sites , users fear they wont survive",https://www.stcatharinesstandard.ca/news/ontario/as-clock-ticks-down-for-ontario-consumption-sites-users-fear-they-wont-survive/article_e9bb07fb-733a-566b-a8f6-0b41a7f045a8.html,stcatharinesstandard.ca,20260515T110000Z,port closure supply risk,2026-05-20T05:42:27.244338
"Consumption site closures spark fear , anger amongst some Ontarians",https://www.cbc.ca/news/canada/toronto/safe-consumption-fear-anger-funding-removal-ontario-9.7200610,cbc.ca,20260515T170000Z,port closure supply risk,2026-05-20T05:42:27.244341
Somali Pirates Demand $10M Ransom for Oil Tanker Hijacked Amid Hormuz Crisis  | Peak Oil News and Message Boards,https://peakoil.com/publicpolicy/somali-pirates-demand-10m-ransom-for-oil-tanker-hijacked-amid-hormuz-crisis,peakoil.com,20260515T030000Z,port closure supply risk,2026-05-20T05:42:27.244343
Nigeria Inflation Accelerates As Hormuz Oil Shock Ripples West,https://naija247news.com/frontpage/analysis-cover-story/nigeria-inflation-accelerates-as-hormuz-oil-shock-ripples-west/,naija247news.com,20260518T181500Z,port closure supply risk,2026-05-20T05:42:27.244345
